,pick_up_hexes,count,day_time
79,89f05aa641bffff,4011,Night
71,89f05ab4a63ffff,4011,Night
83,89f05aa6473ffff,4011,Night
72,89f05aa64cfffff,4011,Night
78,89f05ab4a77ffff,4011,Night
375,89f05ab6e23ffff,3885,Night
376,89f05ab6eafffff,3885,Night
377,89f05ab6e2fffff,3885,Night
378,89f05ab6e27ffff,3885,Night
374,89f05ab6e37ffff,3885,Night
362,89f05aa451bffff,3747,Night
366,89f05aa4563ffff,3747,Night
367,89f05aa456fffff,3747,Night
368,89f05aa40b7ffff,3747,Night
363,89f05aa4557ffff,3747,Night
369,89f05aa4573ffff,3747,Night
364,89f05aa4547ffff,3747,Night
361,89f05aa457bffff,3747,Night
365,89f05aa450bffff,3747,Night
317,89f05ab4ab7ffff,3463,Night
316,89f05ab4b57ffff,3463,Night
318,89f05ab4ea7ffff,3463,Night
319,89f05ab4bdbffff,3463,Night
320,89f05ab4e27ffff,3463,Night
315,89f05ab4bcfffff,3463,Night
324,89f05ab4853ffff,3463,Night
314,89f05ab48dbffff,3463,Night
313,89f05ab4a37ffff,3463,Night
312,89f05ab4843ffff,3463,Night
311,89f05ab484bffff,3463,Night
310,89f05ab4a2fffff,3463,Night
309,89f05ab4bc3ffff,3463,Night
308,89f05ab4aa7ffff,3463,Night
325,89f05ab484fffff,3463,Night
322,89f05ab4b43ffff,3463,Night
303,89f05ab4aafffff,3463,Night
304,89f05ab4ab3ffff,3463,Night
300,89f05ab4a23ffff,3463,Night
301,89f05ab4aa3ffff,3463,Night
321,89f05ab4bd3ffff,3463,Night
302,89f05ab4a33ffff,3463,Night
305,89f05ab486bffff,3463,Night
306,89f05ab48cbffff,3463,Night
307,89f05ab485bffff,3463,Night
323,89f05ab4aabffff,3463,Night
427,89f05ab5d1bffff,3217,Night
423,89f05ab5d73ffff,3217,Night
421,89f05ab5d7bffff,3217,Night
422,89f05ab5d47ffff,3217,Night
424,89f05ab5d57ffff,3217,Night
425,89f05ab5dc7ffff,3217,Night
426,89f05ab5d0bffff,3217,Night
