,drop_off_hexes,count,day_time
655,89f05ab4e9bffff,3312,Night
130,89f05aa6323ffff,3297,Night
136,89f05aa63afffff,3297,Night
135,89f05aa6e4bffff,3297,Night
134,89f05aa6ecbffff,3297,Night
133,89f05aa6333ffff,3297,Night
132,89f05aa6e53ffff,3297,Night
131,89f05aa45b3ffff,3297,Night
129,89f05aa6e43ffff,3297,Night
123,89f05aa6327ffff,3297,Night
128,89f05aa6e4fffff,3297,Night
127,89f05aa63a7ffff,3297,Night
126,89f05aa632fffff,3297,Night
122,89f05aa6337ffff,3297,Night
125,89f05aa6e5bffff,3297,Night
137,89f05aa6edbffff,3297,Night
124,89f05aa63abffff,3297,Night
288,89f05ab49dbffff,3256,Night
292,89f05ab4c27ffff,3256,Night
283,89f05ab4827ffff,3256,Night
284,89f05ab4d53ffff,3256,Night
286,89f05ab4d5bffff,3256,Night
287,89f05ab4837ffff,3256,Night
289,89f05ab4d4bffff,3256,Night
290,89f05ab4c37ffff,3256,Night
291,89f05ab4dcbffff,3256,Night
285,89f05ab48b3ffff,3256,Night
293,89f05ab48a3ffff,3256,Night
295,89f05ab4cb7ffff,3256,Night
296,89f05ab48a7ffff,3256,Night
297,89f05ab4ca7ffff,3256,Night
294,89f05ab48afffff,3256,Night
298,89f05ab495bffff,3256,Night
299,89f05ab4ddbffff,3256,Night
221,89f05ab41d7ffff,3235,Night
219,89f05ab411bffff,3235,Night
220,89f05ab410bffff,3235,Night
222,89f05ab41c7ffff,3235,Night
441,89f05ab4c9bffff,3128,Night
440,89f05ab4c03ffff,3128,Night
439,89f05ab4c13ffff,3128,Night
438,89f05ab4c0fffff,3128,Night
437,89f05ab4c8bffff,3128,Night
1282,89f05ab5d57ffff,3041,Night
1285,89f05ab5d1bffff,3041,Night
1284,89f05ab5d0bffff,3041,Night
1279,89f05ab5d7bffff,3041,Night
1280,89f05ab5d47ffff,3041,Night
1281,89f05ab5d73ffff,3041,Night
1283,89f05ab5dc7ffff,3041,Night
1934,89f05aa607bffff,2790,Night
1938,89f05aa63d3ffff,2790,Night
1930,89f05aa646fffff,2790,Night
1935,89f05aa606bffff,2790,Night
1932,89f05aa6057ffff,2790,Night
1937,89f05aa601bffff,2790,Night
1936,89f05aa60d7ffff,2790,Night
1933,89f05aa60c7ffff,2790,Night
1931,89f05aa6047ffff,2790,Night
668,89f05ab4327ffff,2782,Night
667,89f05ab43a3ffff,2782,Night
669,89f05ab43afffff,2782,Night
670,89f05ab4337ffff,2782,Night
487,89f05ab4c23ffff,2746,Night
486,89f05ab4c3bffff,2746,Night
485,89f05ab4c33ffff,2746,Night
484,89f05ab4c2bffff,2746,Night
483,89f05ab4c2fffff,2746,Night
