,routes,count,day_time
15,89f05ab4c4fffff**89f05ab4c43ffff**89f05ab4eafffff**89f05ab4eb3ffff**89f05ab4c4bffff**89f05ab4ea3ffff**89f05ab4c53ffff**89f05ab4e37ffff**89f05ab4eb7ffff,2655,Night
18,89f05ab4897ffff**89f05ab4893ffff**89f05ab4c07ffff**89f05ab4c2fffff**89f05ab4c2bffff**89f05ab4c33ffff**89f05ab4c3bffff**89f05ab4c23ffff,2435,Night
12,89f05ab4827ffff**89f05ab4d53ffff**89f05ab48b3ffff**89f05ab4d5bffff**89f05ab4837ffff**89f05ab49dbffff**89f05ab4d4bffff**89f05ab4c37ffff**89f05ab4dcbffff**89f05ab4c27ffff**89f05ab48a3ffff**89f05ab48afffff**89f05ab4cb7ffff**89f05ab48a7ffff**89f05ab4ca7ffff**89f05ab495bffff**89f05ab4ddbffff,2406,Night
14,89f05ab5917ffff**89f05ab5983ffff**89f05ab598fffff**89f05ab590fffff**89f05ab5d2fffff**89f05ab5903ffff,2348,Night
25,89f05aa45a7ffff**89f05aa6a53ffff**89f05aa6acbffff**89f05aa45b7ffff**89f05aa6a43ffff**89f05aa6adbffff,2226,Night
73,89f05ab59b3ffff**89f05ab59a3ffff**89f05ab5d27ffff**89f05ab4a43ffff**89f05ab5d37ffff**89f05ab5dafffff**89f05ab4a4fffff**89f05ab5927ffff**89f05ab4a5bffff**89f05ab59b7ffff**89f05ab4a4bffff**89f05ab5937ffff**89f05ab59afffff**89f05ab59a7ffff,2201,Night
53,89f05ab59bbffff**89f05ab5987ffff**89f05ab59abffff**89f05ab5997ffff**89f05ab5923ffff**89f05ab5933ffff,2117,Night
0,89f05aa4cdbffff**89f05aa4ccbffff**89f05aa4a87ffff**89f05aa4c43ffff**89f05aa41a7ffff**89f05aa4e27ffff**89f05aa4c4fffff**89f05aa4ea3ffff**89f05aa485bffff**89f05aa4eb3ffff**89f05aa4cd3ffff**89f05aa4c53ffff**89f05aa4cc3ffff**89f05aa4eafffff**89f05aa4e37ffff,2051,Night
33,89f05ab4a03ffff**89f05ab4a8bffff**89f05ab4e67ffff**89f05ab4a13ffff**89f05ab4a9bffff**89f05ab4a0fffff,2017,Night
41,89f05ab4117ffff**89f05ab4187ffff**89f05ab4103ffff**89f05ab416fffff**89f05ab4183ffff**89f05ab416bffff**89f05ab418fffff**89f05ab4177ffff**89f05ab4163ffff**89f05ab410fffff**89f05ab4173ffff,1945,Night
40,,1908,Night
52,89f05aa638bffff**89f05aa6393ffff**89f05aa6303ffff**89f05aa6313ffff**89f05aa639bffff**89f05aa6383ffff,1820,Night
55,89f05ab59d3ffff**89f05ab5d6bffff**89f05ab5953ffff**89f05ab59dbffff**89f05ab59cbffff,1805,Night
49,89f05aa6423ffff**89f05aa64a3ffff**89f05aa6437ffff**89f05aa64afffff**89f05aa642fffff**89f05aa60bbffff,1756,Night
17,89f05ab4e23ffff**89f05ab4a87ffff**89f05ab4abbffff**89f05ab4e2fffff**89f05ab4a97ffff,1733,Night
34,89f05ab68cbffff**89f05ab68dbffff**89f05ab6ea7ffff**89f05ab6843ffff**89f05ab6853ffff,1664,Night
88,89f05aa63a3ffff**89f05aa63b3ffff**89f05aa614bffff**89f05aa6027ffff**89f05aa63b7ffff**89f05aa615bffff**89f05aa63bbffff**89f05aa614fffff,1639,Night
69,89f05ab4b3bffff**89f05ab4b07ffff**89f05ab4b83ffff**89f05ab4b2bffff**89f05ab4813ffff**89f05ab4803ffff**89f05ab4b8fffff**89f05ab482bffff**89f05ab4b17ffff**89f05ab488bffff**89f05ab4b93ffff**89f05ab483bffff**89f05aa6593ffff,1595,Night
72,89f05aa66dbffff**89f05aa75b3ffff**89f05ab5ba7ffff**89f05aa66cbffff**89f05aa664bffff**89f05aa665bffff,1593,Night
22,89f05ab590bffff**89f05aa66d3ffff**89f05ab5963ffff**89f05ab5973ffff**89f05ab596bffff,1571,Night
47,89f05ab6b43ffff**89f05ab6b4fffff,1529,Night
35,89f05ab5d6fffff**89f05ab591bffff**89f05ab59cfffff**89f05ab59d7ffff**89f05ab5957ffff**89f05ab59c7ffff**89f05ab5947ffff,1275,Night
4,89f05ab4887ffff**89f05ab4823ffff**89f05ab4833ffff**89f05ab4b97ffff**89f05ab48abffff**89f05ab488fffff**89f05ab4817ffff**89f05ab48bbffff**89f05ab4807ffff**89f05ab4883ffff**89f05ab482fffff**89f05ab4b87ffff,1151,Night
76,89f05aa62cfffff**89f05aa6663ffff**89f05aa661bffff**89f05aa66c7ffff**89f05aa660bffff**89f05aa6673ffff**89f05aa66cfffff,1103,Night
79,89f05aa75abffff**89f05aa75bbffff**89f05aa7587ffff**89f05aa7533ffff,1085,Night
83,89f05ab593bffff**89f05ab5907ffff**89f05ab592bffff**89f05aa669bffff,1062,Night
